ma_geo_id	ma_vote_id	ctyvtd	statefp10	countyfp10	vtdst10	geoid10	vtdi10	name10	namelsad10	lsad10	mtfcc10	funcstat10	aland10	awater10	intptlat10	intptlon10	recordno	logrecno	county	vtd	name	precinct_code	town	prec_number	citizen	democrat	green	independent	libertarian	npa	other	reform	republican	unknown	total	dem_pct	vap	pop100
1265	"1955"	"17 3397"	25	17	"3397"	"250173397"	"A"	"Watertown Precinct 11"	"Watertown Precinct 11"	0	"G5240"	"N"	540784	0	42.375656	-71.19867	70000000	136241	17	"3397"	"Watertown Precinct 11"	"WATERTOWN-011"	"WATERTOWN"	"11"	"0"	"773"	"0"	"0"	"4"	"775"	"10"	"0"	"145"	"0"	"1707"	"0.84204793"	2076	2532
1266	"1956"	"17 3398"	25	17	"3398"	"250173398"	"A"	"Watertown Precinct 12"	"Watertown Precinct 12"	0	"G5240"	"N"	574059	0	42.380512	-71.19434	70000000	136295	17	"3398"	"Watertown Precinct 12"	"WATERTOWN-012"	"WATERTOWN"	"12"	"0"	"799"	"0"	"0"	"0"	"794"	"9"	"0"	"157"	"0"	"1759"	"0.835774064"	2174	2720
1267	"1946"	"17 3388"	25	17	"3388"	"250173388"	"A"	"Watertown Precinct 2"	"Watertown Precinct 2"	0	"G5240"	"N"	624335	0	42.36756	-71.16399	70000000	135721	17	"3388"	"Watertown Precinct 2"	"WATERTOWN-002"	"WATERTOWN"	"2"	"0"	"864"	"0"	"0"	"1"	"738"	"11"	"0"	"159"	"0"	"1773"	"0.844574809"	2238	2665
1268	"1947"	"17 3389"	25	17	"3389"	"250173389"	"A"	"Watertown Precinct 3"	"Watertown Precinct 3"	0	"G5240"	"N"	465193	0	42.373608	-71.159966	70000000	135766	17	"3389"	"Watertown Precinct 3"	"WATERTOWN-003"	"WATERTOWN"	"3"	"0"	"932"	"0"	"0"	"2"	"807"	"7"	"0"	"145"	"0"	"1893"	"0.865366757"	2280	2589
1269	"1948"	"17 3390"	25	17	"3390"	"250173390"	"A"	"Watertown Precinct 4"	"Watertown Precinct 4"	0	"G5240"	"N"	1125771	0	42.37336	-71.172325	70000000	135810	17	"3390"	"Watertown Precinct 4"	"WATERTOWN-004"	"WATERTOWN"	"4"	"0"	"975"	"0"	"0"	"1"	"802"	"10"	"0"	"172"	"0"	"1960"	"0.850043595"	2330	2737
1270	"1949"	"17 3391"	25	17	"3391"	"250173391"	"A"	"Watertown Precinct 5"	"Watertown Precinct 5"	0	"G5240"	"N"	851582	1912	42.36397	-71.17411	70000000	135863	17	"3391"	"Watertown Precinct 5"	"WATERTOWN-005"	"WATERTOWN"	"5"	"0"	"854"	"0"	"0"	"1"	"797"	"12"	"0"	"141"	"0"	"1805"	"0.858291447"	2324	2764
1271	"1950"	"17 3392"	25	17	"3392"	"250173392"	"A"	"Watertown Precinct 6"	"Watertown Precinct 6"	0	"G5240"	"N"	755308	121125	42.36332	-71.184746	70000000	135918	17	"3392"	"Watertown Precinct 6"	"WATERTOWN-006"	"WATERTOWN"	"6"	"0"	"778"	"0"	"0"	"0"	"946"	"13"	"0"	"142"	"0"	"1879"	"0.845652163"	2516	2895
1272	"1951"	"17 3393"	25	17	"3393"	"250173393"	"A"	"Watertown Precinct 7"	"Watertown Precinct 7"	0	"G5240"	"N"	595753	0	42.377567	-71.182236	70000000	135994	17	"3393"	"Watertown Precinct 7"	"WATERTOWN-007"	"WATERTOWN"	"7"	"0"	"985"	"0"	"0"	"1"	"896"	"10"	"0"	"154"	"0"	"2046"	"0.864793658"	2175	2645
1273	"1952"	"17 3394"	25	17	"3394"	"250173394"	"A"	"Watertown Precinct 8"	"Watertown Precinct 8"	0	"G5240"	"N"	777449	0	42.373184	-71.18696	70000000	136049	17	"3394"	"Watertown Precinct 8"	"WATERTOWN-008"	"WATERTOWN"	"8"	"0"	"902"	"0"	"1"	"2"	"885"	"8"	"0"	"181"	"0"	"1979"	"0.832871675"	2264	2740
1274	"1953"	"17 3395"	25	17	"3395"	"250173395"	"A"	"Watertown Precinct 9"	"Watertown Precinct 9"	0	"G5240"	"N"	426725	18755	42.36786	-71.189674	70000000	136120	17	"3395"	"Watertown Precinct 9"	"WATERTOWN-009"	"WATERTOWN"	"9"	"0"	"594"	"0"	"0"	"1"	"600"	"8"	"0"	"96"	"0"	"1299"	"0.860869586"	1880	2147
1275	"1957"	"17 3399"	25	17	"3399"	"250173399"	"A"	"Wayland Precinct 1"	"Wayland Precinct 1"	0	"G5240"	"N"	17878232	1035356	42.372845	-71.364426	70000000	136358	17	"3399"	"Wayland Precinct 1"	"WAYLAND-001"	"WAYLAND"	"1"	"0"	"670"	"0"	"0"	"2"	"1371"	"6"	"0"	"311"	"0"	"2360"	"0.682976544"	2306	3217
1276	"1958"	"17 3400"	25	17	"3400"	"250173400"	"A"	"Wayland Precinct 2"	"Wayland Precinct 2"	0	"G5240"	"N"	4039340	394891	42.33279	-71.37139	70000000	136471	17	"3400"	"Wayland Precinct 2"	"WAYLAND-002"	"WAYLAND"	"2"	"0"	"833"	"0"	"0"	"0"	"1416"	"6"	"0"	"297"	"0"	"2552"	"0.737168133"	2412	3245
1277	"1959"	"17 3401"	25	17	"3401"	"250173401"	"A"	"Wayland Precinct 3"	"Wayland Precinct 3"	0	"G5240"	"N"	5319375	502149	42.325703	-71.35133	70000000	136577	17	"3401"	"Wayland Precinct 3"	"WAYLAND-003"	"WAYLAND"	"3"	"0"	"731"	"0"	"0"	"0"	"1410"	"3"	"0"	"274"	"0"	"2418"	"0.727363169"	2370	3239
